@relation pan_features_trainset_dec31_withoutid

@attribute TSDiff numeric
@attribute dsr numeric
@attribute ddsr numeric
@attribute rep numeric
@attribute insertedTokens numeric
@attribute deletedTokens numeric
@attribute deleterTokens numeric
@attribute insPageCount numeric
@attribute delPageCount numeric
@attribute insRevisionCount numeric
@attribute delRevisionCount numeric
@attribute userType {0,1,2,3,4,5}
@attribute userPageStatus {-1,1,0}
@attribute comment_feature1 {0,1}
@attribute comment_feature2 {0,1}
@attribute comment_feature3 {0,1}
@attribute comment_feature4 {0,1}
@attribute comment_feature5 {0,1}
@attribute RevOrdinal numeric
@attribute CommentLength numeric
@attribute InsertSize numeric
@attribute DeleteSize numeric
@attribute SizeRatio numeric
@attribute KLDNew2OLD numeric
@attribute HasBecomeBlank {0,1}
@attribute HasInsInternalLink {0,1}
@attribute HasInsExternalLink {0,1}
@attribute Reverted {0,1}
@attribute KLDINSOld numeric
@attribute LongestInsertedWord numeric
@attribute LongestInsertedCharacterSequence numeric
@attribute InsCompressibiity numeric
@attribute InsUpperToLowerRatio numeric
@attribute InsUpperToAllRatio numeric
@attribute InsDigitRatio numeric
@attribute InsNonAlphabeticRatio numeric
@attribute InsCharacterDiversity numeric
@attribute InsAvgTermFrequency numeric
@attribute InsVulgarRatio numeric
@attribute InsBiasRatio numeric
@attribute InsSexRatio numeric
@attribute InsBadRatio numeric
@attribute InsPronounRatio numeric
@attribute InsGoodRatio numeric
@attribute InsAllSpecialRatio numeric
@attribute KLDDELOLD numeric
@attribute DelVulgarRatio numeric
@attribute DelBiasRatio numeric
@attribute DelSexRatio numeric
@attribute DelBadRatio numeric
@attribute DelPronounRatio numeric
@attribute DelGoodRatio numeric
@attribute DelAllSpecialRatio numeric
@attribute LongestCommentCharacterSequence numeric
@attribute CommentUpperToLowerRatio numeric
@attribute CommentUpperToAllRatio numeric
@attribute CommentDigitRatio numeric
@attribute CommentNonAlphabeticRatio numeric
@attribute CommentCharacterDiversity numeric
@attribute CommentVulgarRatio numeric
@attribute CommentBiasRatio numeric
@attribute CommentSexRatio numeric
@attribute CommentBadRatio numeric
@attribute CommentPronounRatio numeric
@attribute CommentGoodRatio numeric
@attribute CommentAllSpecialRatio numeric
@attribute label {0,1}

@data
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,4,1,2,0.999308,13.663923,0,0,0,0,2524.049758,3,2,1,0.5,0.6,0.2,0.123551,0.25,1.5,0,0,0,0,0,0,0,2516.525737,0,0,0,0,0,0,0,0,0.041667,0.208333,0.041667,0.041667,0.071429,0,0,0,0,0,0,0,0
203,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,3,2,0,1.003232,0.000121,0,1,0,0,2339.528036,5,1,1,0.333333,0.454545,0.090909,0.139722,0.1,2.333333,0,0,0,0,0,0,0,2344.430398,0,0,0,0,0,0,0,0,0.136364,0.25,0.041667,0.041667,0.066667,0,0,0,0,0,0,0,0
12080,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,3,1,6,0.991784,6.464534,0,0,0,0,1500.008808,6,1,1,0.125,0.25,0.125,0.093463,0.142857,1.5,0,0,0,0,0,0,0,1474.756412,0,0,0,0,0,0,0,0,0.125,0.294118,0.058824,0.058824,0.090909,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0,49,0.932086,2.684507,0,0,0,0,1880.154434,0,1,0,1,1,1,0.073358,1,1,0,0,0,0,0,0,0,1880.154434,0,0,0,0,0,0,0,0,0.25,0.333333,0.111111,0.111111,0.111111,0,0,0,0,0,0,0,0
303,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,3,1,2,0.999971,0.000005,0,0,0,0,49094.16528,3,1,1,0.2,0.4,0.2,0.05993,0.2,1.5,0,0,0,0,0,0,0,49084.82586,0,0,0.333333,0,0,0,0.333333,0,0.222222,0.333333,0.047619,0.047619,0.076923,0,0,0,0,0,0,0,0
216,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5628,23,2,2,1.000066,9.718009,0,1,0,0,38411.53986,4,1,1,0.375,0.5,0.1,0.063403,0.125,2.333333,0,0,0,0,0,0,0,38406.78329,0,0,0,0,0,0,0,0,0.103774,0.62931,0.344828,0.008621,0.027778,0,0,0,0,0,0,0,0
341,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3436,20,25,0,1.002647,-0.014154,0,0,0,0,23070.71858,9,2,0.76259,0.052239,0.228571,0.007143,0.071611,0.037037,25.045455,0,0,0.038462,0,0.038462,0,0.076923,23128.28399,0,0,0,0,0,0,0,0,0.144068,0.343284,0.074627,0.007463,0.027778,0,0,0,0,0,0,0,1
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,63,0,1.85177,-2.26805,0,0,0,0,166.834326,11,2,0.68883,0.047091,0.246684,0.034483,0.080048,0.025,63.019608,0,0,0,0,0,0,0,188.973754,0,0,0,0,0,0,0,0,0.14966,0.303571,0.005952,0.011905,0.026316,0,0,0,0,0,0,0,0
19,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,3,0,208,0.956402,592.751474,0,0,0,0,13894.66663,0,1,0,1,1,1,0.068147,1,1,0,0,0,0,0,0,0,12768.96862,0,0,0,0,0,0.009569,0.009569,0,0.047619,0.190476,0.047619,0.047619,0.071429,0.166667,0,0,0,0,0,0.166667,0
12810,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,2,1,1,0.99951,7.101031,0,0,0,0,3213.213542,3,1,1,0.2,0.4,0.2,0.120878,0.2,1.5,0,0,0,0,0,0,0,3213.213542,0,0,0,0,0,0,0,0,0.166667,0.25,0.05,0.05,0.071429,0,0,0,0,0,0,0,0
41037,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,1.000512,0,0,1,0,0,790.864928,0,1,0,1,1,1,0.091607,1,1,0,0,0,0,0,0,0,790.864928,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.125,0,0,0,0,0,0,0,0
708,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17,0,12,0.983756,40.153617,0,0,0,0,2272.877783,0,1,0,1,1,1,0.111559,1,1,0,0,0,0,0,0,0,2211.733653,0,0,0,0,0,0,0,0,0.0625,0.227723,0.009901,0.009901,0.04,0,0,0,0,0,0,0,0
40801,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,24,68,53,1.012608,35.102117,0,0,0,0,1512.938126,10,2,0.621076,0.106173,0.299776,0.051454,0.179199,0.022222,68.022222,0,0,0,0,0,0,0,1527.940816,0,0,0,0,0,0,0,0,0.153846,0.33557,0.04698,0.006711,0.026316,0,0,0,0,0,0.037037,0.037037,0
2956,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,4,2,1.002454,13.235389,0,0,1,0,1867.781529,15,3,0.931035,0.033333,0.166667,0.033333,0.10676,0.055556,4.2,0,0,0,0,0,0,0,1868.307212,0,0,0,0,0,0,0,0,0.027397,0.148649,0.013514,0.013514,0.045455,0,0,0,0,0,0,0,0
34229,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,10,2,0,1.00534,0.001643,0,0,0,0,1141.281707,6,2,1,0.166667,0.307692,0.076923,0.066401,0.090909,2.333333,0,0,0,0,0,0,0,1147.196989,0,0,0,0,0,0,0,0,0.268293,0.411765,0.019608,0.019608,0.041667,0,0,0,0,0,0,0,0
6,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,2,46,16,1.003441,44.658765,0,0,0,0,21028.43155,11,2,0.716418,0.015038,0.185874,0.003717,0.054726,0.035714,46.025,0.042553,0,0,0,0,0,0.042553,21080.36349,0,0,0,0,0,0,0,0,0.181818,0.333333,0.083333,0.083333,0.1,0,0,0,0,0,0,0,1
10732,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,10,2,0,1.00087,0.000093,0,0,0,0,7599.507778,7,2,0.928571,0.230769,0.333333,0.066667,0.060994,0.090909,2.333333,0,0,0,0,0,0,0,7606.568927,0,0,0,0,0,0,0,0,0.261905,0.403846,0.019231,0.019231,0.041667,0,0,0,0,0,0,0,0
3441,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,11,25,32,0.978166,5.880374,0,0,0,0,1437.253746,13,2,0.835616,0.129771,0.367347,0.088435,0.104911,0.027778,25.041667,0,0,0,0,0,0,0,1366.56678,0,0,0,0,0,0,0,0,0.1,0.218391,0.011494,0.011494,0.047619,0,0,0,0,0,0.071429,0.071429,0
0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,2,0,0,0.999951,0,0,0,0,0,12549.61651,0,1,0,1,1,1,0.151915,1,1,0,0,0,0,0,0,0,12549.61651,0,0,0,0,0,0,0,0,0.214286,0.3125,0.0625,0.0625,0.111111,0,0,0,0,0,0,0,0
9068,?,?,?,0,0,2,0,1,0,1,0,0,0,0,0,0,0,63,5,0,2,0.998374,0.000254,0,0,0,0,3512.239696,0,1,0,1,1,1,0.080019,1,1,0,0,0,0,0,0,0,3505.635168,0,0,0,0,0,0,0,0,0.060606,0.205882,0.029412,0.029412,0.0625,0,0,0,0,0,0,0,0
3383,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,4,0,23,0.949746,67.17972,0,0,0,0,1526.750747,0,1,0,1,1,1,0.144567,1,1,0,0,0,0,0,0,0,1412.397487,0,0,0,0,0,0,0,0,0.086957,0.291667,0.083333,0.041667,0.076923,0,0,0,0,0,0,0,0
0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,1.000423,0.001082,0,0,0,0,1231.130323,9,1,1,0.2,0.272727,0.090909,0.073996,0.1,1.5,0,0,0,0,0,0,0,1231.130323,0,0,0,0,0,0,0,0,0.125,0.25,0.125,0.125,0.125,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,2,0.996358,13.199747,0,0,0,0,2509.224905,0,1,0,1,1,1,0.049137,1,1,0,0,0,0,0,0,0,2501.933248,0,0,0,0,0,0,0,0,0.153846,0.214286,0.071429,0.071429,0.083333,0,0,0,0,0,0,0,0
115,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4774,1,0,0,1.000168,0,0,0,0,0,11206.38752,0,1,0,1,1,1,0.114862,1,1,0,0,0,0,0,0,0,11206.38752,0,0,0,0,0,0,0,0,0.25,0.333333,0.111111,0.111111,0.125,0,0,0,0,0,0,0,0
29,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,24,27,0.99925,68.98101,0,0,0,0,1672.280586,12,2,0.686047,0.067485,0.202312,0.00578,0.087522,0.038462,24.0625,0,0,0,0,0,0,0,1591.725618,0,0,0,0,0,0,0,0,0.04,0.2,0.04,0.04,0.066667,0,0,0,0,0,0,0,0
4,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,2,1,1.001069,6.070713,0,0,0,0,1613.876231,8,2,0.916667,0.166667,0.307692,0.076923,0.048416,0.125,2.333333,0,0,0,0,0,0,0,1616.00219,0,0,0,0,0,0,0,0,0.065089,0.217877,0.005587,0.011173,0.032258,0,0,0,0,0,0,0,0
21169,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,30,2,2,1.000163,6.830273,0,1,0,0,2548.489711,5,1,1,0.083333,0.583333,0.416667,0.113536,0.1,2.333333,0,0,0,0,0,0,0,2543.232858,0,0,0,0,0,0,0,0,0.049296,0.533784,0.290541,0.006757,0.029412,0,0,0,0,0,0,0,0
4,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,64,0,2.288809,-2.004947,0,0,0,0,76.302413,11,2,0.65043,0.050898,0.231429,0.002857,0.037855,0.029412,64.022727,0,0,0,0,0,0,0,109.142484,0,0,0,0,0,0,0,0,0.0625,0.236559,0.005376,0.010753,0.032258,0,0,0,0,0,0,0,0
4691,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,23,2,1,0.999957,8.843793,0,0,0,0,17143.70696,6,1,1,0.076923,0.538462,0.307692,0.098923,0.083333,2.333333,0,0,0,0,0,0,0,17147.84968,0,0,0,0,0,0,0,0,0.103774,0.62931,0.344828,0.008621,0.027778,0,0,0,0,0,0,0,0
1,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0.999562,0,0,0,0,0,2074.275044,0,1,0,1,1,1,0.047807,1,1,0,0,0,0,0,0,0,2074.275044,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0
13404,?,?,?,0,0,4,0,1,0,1,0,0,0,0,0,0,0,100,24,0,4,0.989693,5.673443,0,0,0,0,1728.132968,0,1,0,1,1,1,0.060749,1,1,0,0,0,0,0,0,0,1718.984064,0,0,0,0,0,0,0,0,0.075472,0.211765,0.005882,0.005882,0.035714,0,0,0,0,0,0,0,0
2937,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,1,1,1,6.393725,0,0,0,0,1504.740616,3,1,1,2,1,0.2,0.2,0.2,1.5,0,0,0,0,0,0,0,1504.740616,0,0,0,0,0,0,0,0,0.051724,0.183333,0.016667,0.016667,0.043478,0,0,0,0,0,0,0,0
160,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,15,9,7,1.000854,15.027885,0,0,0,0,5826.17571,13,2,0.890909,0.055556,0.214286,0.017857,0.066439,0.05,9.1,0,0,0,0,0,0,0,5833.625816,0,0,0,0,0,0,0,0,0.037383,0.172727,0.009091,0.009091,0.041667,0,0,0,0,0,0,0,0
40,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,1,2,3,0.999817,-0.005213,0,0,0,0,7271.885025,5,1,1,0.272727,0.384615,0.076923,0.121844,0.1,2.333333,0,0,0,0,0,0,0,7265.476783,0,0,0,0,0,0,0,0,0.166667,0.230769,0.076923,0.076923,0.090909,0,0,0,0,0,0,0,0
4,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,2,246,67,1.067625,53.545756,0,1,1,0,5286.261433,14,3,0.553681,0.07137,0.285824,0.031418,0.116555,0.018182,246.00625,0,0.004049,0,0,0,0,0.004049,5673.697117,0,0,0,0,0,0,0,0,0.142857,0.266667,0.066667,0.066667,0.076923,0,0,0,0,0,0,0,0
70,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6062,4,0,7,0.999264,36.484298,0,0,0,0,17095.42651,0,1,0,1,1,1,0.0901,1,1,0,0,0,0,0,0,0,17048.51256,0,0.25,0,0,0,0,0.25,0,0.222222,0.380952,0.047619,0.047619,0.071429,0,0,0,0,0,0,0,0
28138,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,7,0,15,0.995306,106.053276,0,1,0,0,10317.83027,0,1,0,1,1,1,0.040669,1,1,0,0,0,0,0,0,0,10209.73493,0,0,0,0,0,0,0,0,0.075472,0.196429,0.017857,0.017857,0.05,0,0,0,0,0,0,0,0
1605,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,16,0,1.037196,-0.173492,0,0,0,0,1458.788662,8,2,0.864583,0.065217,0.226804,0.010309,0.061034,0.037037,16.058824,0,0,0,0,0,0,0,1484.814327,0,0,0,0,0,0,0,0,0.157895,0.238095,0.047619,0.047619,0.071429,0,0,0,0,0,0,0,0
5,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,65,0,1.118671,-0.50593,0,1,0,0,1232.743653,10,2,0.695291,0.077151,0.281768,0.008287,0.093352,0.022222,65.018182,0,0,0,0,0,0.015152,0.015152,1337.885747,0,0,0,0,0,0,0,0,0.173913,0.307692,0.038462,0.038462,0.058824,0,0,0,0.142857,0,0,0.142857,0
2391,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,3,0,1.00463,0.000256,0,0,0,0,2847.490414,9,1,0.947368,0.166667,0.3,0.05,0.109698,0.076923,3.25,0,0,0,0,0,0,0,2857.860805,0,0,0,0,0,0,0,0,0.222222,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0
2,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,11,0,9,0.999152,35.787071,0,1,0,0,11904.31645,0,1,0,1,1,1,0.138965,1,1,0,0,0,0,0,0,0,11847.36243,0.1,0,0,0,0,0,0.1,0,0.057692,0.259259,0.018519,0.018519,0.047619,0.071429,0,0,0,0,0,0.071429,0
214,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,6,17,0,1.011611,-0.017909,0,0,0,0,3382.188112,8,2,0.806818,0.046512,0.370787,0.146067,0.099605,0.035714,17.058824,0,0,0,0,0,0,0,3458.126279,0,0,0,0,0,0,0,0,0.058824,0.342857,0.142857,0.028571,0.055556,0,0,0,0,0,0,0,0
7325,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,116,45,1.43722,47.362462,0,1,0,0,231.278635,12,2,0.628952,0.071048,0.289037,0.031561,0.071763,0.021277,116.0125,0,0,0,0,0,0,0,240.410667,0,0,0,0,0,0,0,0,0.161765,0.394904,0.070064,0.012739,0.025,0,0,0,0,0,0,0,0
221148,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,15,0.971346,62.444652,0,1,0,0,1465.048037,0,1,0,1,1,1,0.051707,1,1,0,0,0,0,0,0,0,1391.282104,0,0,0,0,0,0,0,0,0.166667,0.3,0.05,0.05,0.071429,0,0,0,0,0,0,0,0
15,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,3,0,59,0.99173,156.061432,0,0,0,0,13013.14958,0,1,0,1,1,1,0.0952,1,1,0,0,0,0,0,0,0,12646.02166,0.016667,0.016667,0,0,0.016667,0,0.05,0,0.142857,0.333333,0.066667,0.066667,0.090909,0,0,0,0,0,0,0,0
